CO(GT);PT08.S1(CO);C6H6(GT);NOx(GT);PT08.S3(NOx);NO2(GT);PT08.S4(NO2);T;RH;AH
1.8;1391.0;18.3;180.0;518.0;113.09125081011017;1845.0;26.0;46.4;1.5414
1.8;1335.0;14.6;180.0;563.0;113.09125081011017;1729.0;26.3;46.0;1.5478
1.8;1402.0;17.1;180.0;530.0;113.09125081011017;1789.0;27.4;43.9;1.5811
1.8;1406.0;17.2;180.0;542.0;113.09125081011017;1772.0;29.6;36.7;1.4936
1.8;1527.0;24.6;180.0;476.0;113.09125081011017;1966.0;28.7;37.3;1.4486
1.8;1559.0;26.9;180.0;463.0;113.09125081011017;2022.0;25.7;44.1;1.4331
1.8;1840.0;44.0;180.0;360.0;113.09125081011017;2553.0;24.5;49.5;1.5022
1.8;1666.0;31.0;180.0;427.0;113.09125081011017;2195.0;23.3;54.4;1.5386
1.8;1336.0;16.8;180.0;542.0;113.09125081011017;1759.0;22.4;57.9;1.5449
1.8;1189.0;11.0;180.0;641.0;113.09125081011017;1553.0;22.7;55.8;1.5218
1.8;1226.0;11.4;180.0;620.0;113.09125081011017;1570.0;20.4;62.4;1.4758
1.8;1171.0;9.9;180.0;650.0;113.09125081011017;1529.0;20.3;64.2;1.5063
1.8;1002.0;5.0;180.0;814.0;113.09125081011017;1385.0;21.4;60.6;1.5236
1.8;950.0;3.7;180.0;894.0;113.09125081011017;1375.0;20.3;66.3;1.5657
1.8;930.0;3.1;180.0;925.0;113.09125081011017;1321.0;20.9;62.2;1.5182
1.8;924.0;2.9;180.0;948.0;113.09125081011017;1329.0;19.9;66.1;1.5198
1.8;994.0;4.4;180.0;852.0;113.09125081011017;1400.0;19.8;67.1;1.5305
1.8;1089.0;7.4;180.0;741.0;113.09125081011017;1479.0;20.1;64.4;1.4967
1.8;1468.0;19.4;180.0;518.0;113.09125081011017;1899.0;19.7;66.4;1.5035
1.8;1696.0;37.1;180.0;383.0;113.09125081011017;2464.0;20.9;62.4;1.5226
1.8;1479.0;22.2;180.0;491.0;113.09125081011017;1937.0;22.5;57.0;1.5314
1.8;1425.0;18.5;180.0;516.0;113.09125081011017;1864.0;23.5;53.4;1.5241
1.8;1279.0;14.0;180.0;587.0;113.09125081011017;1668.0;24.7;48.2;1.4802
1.8;1319.0;15.5;180.0;571.0;113.09125081011017;1743.0;27.1;40.9;1.4405
1.8;1329.0;15.7;180.0;561.0;113.09125081011017;1739.0;25.9;44.2;1.4576
1.8;1327.0;15.7;180.0;566.0;113.09125081011017;1747.0;26.9;41.8;1.4555
1.8;1282.0;12.7;180.0;605.0;113.09125081011017;1651.0;27.2;40.7;1.4481
2.9;1342.0;15.3;267.0;572.0;87.0;1707.0;28.6;37.6;1.4468
5.4;1623.0;28.8;398.0;447.0;111.0;2110.0;28.0;38.5;1.437
5.3;1576.0;26.1;418.0;463.0;119.0;2024.0;25.2;45.8;1.4464
6.7;1747.0;37.1;515.0;399.0;128.0;2370.0;24.0;50.6;1.4892
7.0;1757.0;35.7;669.0;396.0;117.0;2280.0;23.2;54.7;1.5296
2.8;1331.0;16.5;326.0;559.0;92.0;1715.0;22.3;57.1;1.5219
1.7;1182.0;11.0;209.0;658.0;73.0;1572.0;21.8;58.2;1.5036
1.7;1162.0;10.8;183.0;658.0;60.0;1556.0;20.9;61.3;1.4923
1.7;1147.0;9.6;165.0;668.0;60.0;1517.0;20.6;62.0;1.4827
1.2;1040.0;6.5;111.0;762.0;53.0;1423.0;20.3;62.5;1.472
0.7;920.0;3.6;67.0;920.0;47.0;1317.0;20.5;62.1;1.4771
0.7;931.0;3.3;180.0;931.0;113.09125081011017;1326.0;18.7;68.5;1.4586
0.8;954.0;4.4;88.0;865.0;43.0;1360.0;18.2;70.3;1.4498
0.9;981.0;5.5;147.0;817.0;47.0;1390.0;18.2;70.1;1.4552
1.7;1147.0;10.8;279.0;653.0;50.0;1589.0;18.2;70.0;1.4519
5.7;1606.0;31.2;665.0;440.0;81.0;2205.0;19.4;66.5;1.4801
4.3;1490.0;24.8;592.0;465.0;75.0;2033.0;19.5;66.9;1.4999
3.9;1473.0;24.2;557.0;483.0;87.0;1984.0;21.1;61.1;1.5056
5.1;1582.0;29.5;693.0;435.0;128.0;2141.0;23.2;54.7;1.5349
3.7;1468.0;21.0;530.0;496.0;105.0;1913.0;24.4;52.5;1.5807
3.3;1413.0;19.6;412.0;518.0;101.0;1883.0;26.4;45.8;1.553
3.6;1400.0;21.2;366.0;520.0;100.0;1916.0;27.7;39.2;1.4356
3.2;1361.0;18.0;344.0;548.0;98.0;1805.0;28.0;39.6;1.4738
3.5;1389.0;20.5;339.0;525.0;98.0;1845.0;28.7;38.4;1.486
2.4;1305.0;15.6;297.0;586.0;98.0;1690.0;28.5;39.4;1.5147
2.9;1354.0;19.2;294.0;543.0;90.0;1799.0;28.4;39.8;1.5191
2.3;1352.0;20.0;211.0;534.0;84.0;1846.0;26.4;45.9;1.5572
3.1;1472.0;21.1;323.0;497.0;101.0;1895.0;25.2;49.5;1.5665
2.9;1412.0;18.6;333.0;525.0;98.0;1797.0;24.9;50.9;1.5856
1.5;1221.0;12.3;163.0;619.0;76.0;1615.0;24.6;52.2;1.5951
1.5;1230.0;10.3;151.0;652.0;71.0;1559.0;24.0;54.4;1.6049
1.7;1247.0;9.6;167.0;666.0;71.0;1569.0;23.8;56.1;1.6298
1.6;1217.0;9.9;174.0;665.0;66.0;1565.0;22.3;60.6;1.608
1.3;1158.0;8.6;142.0;673.0;62.0;1519.0;21.9;61.5;1.5967
1.4;1150.0;7.3;155.0;697.0;58.0;1502.0;21.1;64.5;1.594
0.9;1061.0;5.4;180.0;766.0;113.09125081011017;1447.0;21.0;64.4;1.5828
0.9;1062.0;5.1;96.0;780.0;48.0;1450.0;21.3;63.9;1.5951
1.3;1157.0;7.8;154.0;681.0;53.0;1549.0;20.8;66.7;1.6201
1.3;1167.0;8.2;211.0;681.0;55.0;1548.0;20.6;67.5;1.621
2.9;1403.0;17.6;381.0;523.0;63.0;1872.0;20.9;66.3;1.6165
3.2;1453.0;20.1;470.0;489.0;69.0;1940.0;21.5;63.7;1.6186
3.4;1455.0;18.7;464.0;502.0;84.0;1868.0;23.7;56.0;1.6238
3.6;1512.0;19.5;450.0;498.0;95.0;1899.0;26.0;48.2;1.598
2.3;1331.0;13.0;274.0;588.0;80.0;1689.0;28.5;42.4;1.6286
3.1;1472.0;18.2;306.0;512.0;87.0;1873.0;28.1;45.3;1.6957
3.3;1430.0;16.2;308.0;539.0;94.0;1812.0;29.0;43.9;1.7309
1.9;1264.0;11.0;186.0;624.0;76.0;1650.0;28.9;44.3;1.7392
2.6;1378.0;15.9;238.0;548.0;92.0;1775.0;29.6;42.3;1.7248
2.7;1377.0;14.2;249.0;578.0;94.0;1716.0;29.4;42.9;1.7308
3.7;1527.0;19.9;378.0;502.0;110.0;1907.0;28.7;45.1;1.7468
3.8;1573.0;21.7;386.0;470.0;109.0;1990.0;27.0;51.2;1.7928
4.8;1674.0;25.7;461.0;448.0;122.0;2065.0;26.5;52.7;1.7966
3.5;1455.0;17.3;394.0;535.0;107.0;1796.0;26.2;51.7;1.7334
2.2;1242.0;11.2;266.0;630.0;83.0;1641.0;24.8;56.4;1.7447
1.5;1181.0;8.9;158.0;701.0;62.0;1565.0;24.9;56.0;1.7367
3.4;1468.0;15.2;319.0;565.0;89.0;1738.0;24.5;57.5;1.7433
3.7;1520.0;17.2;409.0;552.0;103.0;1812.0;24.7;56.9;1.7438
2.0;1203.0;11.9;223.0;621.0;74.0;1664.0;23.9;59.2;1.7327
1.4;1096.0;8.1;107.0;732.0;52.0;1560.0;23.8;60.2;1.7515
1.1;991.0;4.9;180.0;845.0;113.09125081011017;1440.0;23.5;61.3;1.7538
1.8;941.0;3.6;50.0;942.0;38.0;1406.0;22.8;64.0;1.7507
0.7;952.0;3.7;56.0;910.0;39.0;1429.0;22.2;65.6;1.7355
1.2;1082.0;6.3;163.0;753.0;59.0;1526.0;21.3;69.1;1.7275
1.3;1095.0;7.7;187.0;705.0;56.0;1574.0;21.3;68.2;1.7127
1.1;1049.0;6.3;150.0;765.0;51.0;1521.0;22.2;65.2;1.7256
1.0;1055.0;5.6;103.0;807.0;51.0;1494.0;24.1;59.0;1.7449
1.2;1074.0;5.1;143.0;814.0;58.0;1489.0;24.3;61.6;1.8468
1.9;1229.0;9.0;220.0;680.0;68.0;1653.0;24.8;59.6;1.8351
2.3;1228.0;9.3;301.0;668.0;81.0;1622.0;24.5;58.8;1.7838
1.6;1107.0;5.9;214.0;768.0;73.0;1546.0;21.0;76.8;1.8881
1.3;1031.0;4.4;162.0;872.0;69.0;1476.0;19.8;78.0;1.7879
1.8;1155.0;5.8;232.0;815.0;81.0;1510.0;19.4;80.5;1.7917
1.7;1131.0;6.6;254.0;784.0;82.0;1531.0;19.6;79.1;1.7877
1.8;1143.0;7.8;224.0;744.0;71.0;1578.0;20.8;73.1;1.7695
2.0;1145.0;8.4;247.0;733.0;81.0;1586.0;21.1;68.6;1.7014
2.2;1169.0;8.3;334.0;726.0;87.0;1563.0;21.1;68.3;1.6914
1.6;1105.0;8.1;239.0;734.0;72.0;1576.0;21.2;67.7;1.6848
1.3;1049.0;6.1;168.0;806.0;63.0;1517.0;20.8;68.6;1.6719
1.5;1069.0;6.7;185.0;767.0;63.0;1527.0;20.8;68.1;1.6585
1.5;1073.0;6.6;178.0;768.0;63.0;1549.0;20.7;68.4;1.6507
1.3;1039.0;6.1;132.0;799.0;55.0;1502.0;20.1;70.5;1.6384
1.4;1021.0;6.0;135.0;794.0;52.0;1502.0;20.2;67.9;1.5901
0.5;825.0;1.4;39.0;1203.0;32.0;1302.0;19.4;70.4;1.5663
0.4;828.0;1.7;180.0;1166.0;113.09125081011017;1304.0;18.8;73.8;1.5885
0.4;847.0;1.9;33.0;1139.0;29.0;1321.0;17.9;77.7;1.5795
0.6;903.0;3.4;90.0;956.0;44.0;1385.0;18.2;76.9;1.5945
1.1;1041.0;7.2;164.0;757.0;53.0;1486.0;18.6;74.9;1.5918
2.9;1314.0;19.0;336.0;559.0;62.0;1888.0;19.6;70.3;1.5821
3.5;1326.0;24.5;366.0;499.0;68.0;1971.0;20.2;66.6;1.5567
4.6;1464.0;25.6;565.0;475.0;85.0;2049.0;19.7;68.9;1.5638
3.4;1313.0;17.1;536.0;564.0;88.0;1789.0;19.2;73.4;1.6192
2.3;1202.0;12.3;416.0;647.0;82.0;1623.0;20.0;69.6;1.607
2.7;1225.0;15.2;379.0;607.0;91.0;1738.0;21.1;64.0;1.5795
3.1;1257.0;18.3;368.0;557.0;87.0;1837.0;20.2;67.4;1.5832
3.2;1271.0;17.2;444.0;566.0;90.0;1810.0;20.2;68.9;1.6074
2.5;1179.0;14.1;352.0;634.0;97.0;1667.0;21.9;57.6;1.4942
3.4;1278.0;18.3;375.0;574.0;99.0;1814.0;23.2;52.0;1.4642
4.8;1435.0;25.0;479.0;499.0;109.0;2072.0;21.7;59.1;1.5115
4.5;1326.0;22.2;448.0;525.0;95.0;1966.0;20.8;61.4;1.4898
4.0;1324.0;21.4;388.0;537.0;80.0;1920.0;19.9;64.2;1.4711
3.2;1206.0;16.2;376.0;592.0;76.0;1751.0;19.7;65.1;1.4769
1.9;1052.0;10.3;224.0;700.0;62.0;1556.0;20.0;63.3;1.4672
1.9;1057.0;8.9;206.0;743.0;57.0;1525.0;19.0;66.1;1.4415
1.3;952.0;6.5;143.0;846.0;57.0;1381.0;18.8;60.9;1.3032
1.1;911.0;5.1;113.0;919.0;54.0;1340.0;18.9;60.7;1.311
1.0;898.0;4.6;93.0;915.0;50.0;1345.0;18.1;65.2;1.343
0.5;809.0;2.1;58.0;1134.0;44.0;1277.0;18.3;65.1;1.3529
0.6;823.0;2.4;180.0;1072.0;113.09125081011017;1300.0;18.3;66.9;1.3952
0.5;814.0;3.2;56.0;1029.0;34.0;1311.0;17.8;67.5;1.3674
0.8;857.0;3.9;105.0;982.0;44.0;1312.0;16.9;66.7;1.2772
1.2;935.0;6.0;243.0;881.0;74.0;1356.0;17.8;60.6;1.2276
2.7;1159.0;13.8;492.0;671.0;101.0;1650.0;17.6;60.8;1.2151
3.0;1102.0;14.8;435.0;648.0;103.0;1594.0;17.9;57.8;1.1751
1.8;979.0;8.4;180.0;795.0;113.09125081011017;1398.0;18.1;56.4;1.1645
1.8;998.0;9.0;180.0;785.0;113.09125081011017;1442.0;18.2;55.9;1.1547
1.8;962.0;8.3;180.0;793.0;113.09125081011017;1380.0;19.7;49.1;1.1148
1.8;985.0;9.5;180.0;773.0;113.09125081011017;1426.0;20.8;45.8;1.1126
1.8;1043.0;12.1;180.0;707.0;113.09125081011017;1514.0;20.5;46.0;1.1
1.8;929.0;7.4;180.0;826.0;113.09125081011017;1365.0;18.9;50.6;1.0927
1.8;946.0;8.0;180.0;816.0;113.09125081011017;1377.0;18.4;51.6;1.0832
1.8;955.0;7.9;180.0;818.0;113.09125081011017;1366.0;17.9;52.6;1.0711
1.8;1004.0;10.9;180.0;730.0;113.09125081011017;1460.0;17.1;54.2;1.0503
1.8;1037.0;12.1;180.0;708.0;113.09125081011017;1480.0;16.5;56.2;1.0455
1.8;1066.0;14.7;180.0;670.0;113.09125081011017;1577.0;16.7;54.1;1.0212
1.8;890.0;6.0;180.0;898.0;113.09125081011017;1274.0;15.4;57.7;1.0008
1.8;843.0;4.3;180.0;990.0;113.09125081011017;1219.0;15.5;57.1;0.9971
1.8;834.0;4.1;180.0;997.0;113.09125081011017;1205.0;15.6;55.9;0.985
1.8;809.0;3.1;180.0;1074.0;113.09125081011017;1161.0;14.8;58.4;0.9777
1.8;786.0;2.2;180.0;1164.0;113.09125081011017;1132.0;14.8;57.9;0.9662
1.8;747.0;1.5;180.0;1276.0;113.09125081011017;1100.0;14.6;57.6;0.9517
1.8;723.0;0.9;180.0;1419.0;113.09125081011017;1065.0;14.6;57.1;0.9428
1.8;704.0;0.5;180.0;1558.0;113.09125081011017;1050.0;14.4;57.6;0.9416
1.8;709.0;0.6;180.0;1590.0;113.09125081011017;1055.0;14.5;57.4;0.9413
1.8;726.0;0.7;180.0;1485.0;113.09125081011017;1066.0;14.3;58.4;0.9501
1.8;798.0;2.2;180.0;1205.0;113.09125081011017;1141.0;14.7;57.4;0.9564
1.8;925.0;5.8;180.0;908.0;113.09125081011017;1272.0;14.3;58.1;0.9404
1.8;906.0;5.9;180.0;878.0;113.09125081011017;1272.0;14.0;58.3;0.9294
1.5;896.0;5.9;286.0;882.0;78.0;1257.0;15.4;53.2;0.9246
1.2;882.0;5.3;281.0;932.0;72.0;1222.0;16.5;49.9;0.9289
1.8;948.0;6.9;180.0;859.0;113.09125081011017;1283.0;17.4;47.6;0.9387
1.8;945.0;7.7;180.0;818.0;113.09125081011017;1307.0;18.0;46.1;0.9401
1.8;942.0;7.3;180.0;832.0;113.09125081011017;1314.0;17.9;46.5;0.9474
1.8;943.0;7.2;180.0;831.0;113.09125081011017;1297.0;17.4;48.3;0.955
1.8;894.0;6.0;180.0;892.0;113.09125081011017;1258.0;16.0;52.6;0.9489
1.8;984.0;8.3;180.0;795.0;113.09125081011017;1348.0;15.3;58.7;1.0154
1.8;1044.0;11.2;180.0;726.0;113.09125081011017;1454.0;15.2;55.9;0.9572
1.8;981.0;10.1;180.0;759.0;113.09125081011017;1370.0;14.8;56.3;0.9459
1.8;1021.0;10.6;180.0;731.0;113.09125081011017;1415.0;14.7;57.8;0.9626
1.8;943.0;7.2;180.0;834.0;113.09125081011017;1314.0;14.8;57.3;0.9603
1.8;863.0;4.4;180.0;970.0;113.09125081011017;1207.0;14.9;57.1;0.9581
1.8;847.0;3.8;180.0;1013.0;113.09125081011017;1174.0;15.2;55.5;0.9521
1.8;859.0;3.8;180.0;1015.0;113.09125081011017;1189.0;15.3;55.4;0.9564
1.8;861.0;4.0;180.0;1004.0;113.09125081011017;1197.0;15.1;56.9;0.9673
1.8;786.0;2.2;180.0;1146.0;113.09125081011017;1123.0;15.0;56.4;0.9554
1.8;740.0;1.1;180.0;1333.0;113.09125081011017;1074.0;14.9;56.4;0.9474
1.8;730.0;0.8;180.0;1434.0;113.09125081011017;1065.0;15.2;54.7;0.9394
1.8;728.0;0.8;180.0;1436.0;113.09125081011017;1061.0;15.1;55.4;0.9439
1.8;755.0;1.2;180.0;1325.0;113.09125081011017;1091.0;14.9;56.8;0.9541
1.8;854.0;3.2;180.0;1080.0;113.09125081011017;1189.0;15.2;55.9;0.9589
1.8;1079.0;10.2;180.0;758.0;113.09125081011017;1465.0;15.3;56.3;0.9684
1.8;1097.0;13.6;180.0;659.0;113.09125081011017;1520.0;15.6;55.4;0.9725
1.8;1024.0;9.9;180.0;747.0;113.09125081011017;1386.0;16.3;53.3;0.9809
1.8;990.0;9.1;180.0;776.0;113.09125081011017;1359.0;20.4;42.2;0.9964
1.8;1013.0;8.0;180.0;788.0;113.09125081011017;1369.0;21.9;39.4;1.0234
1.8;1051.0;9.7;180.0;746.0;113.09125081011017;1442.0;21.5;41.2;1.0399
1.8;1052.0;9.7;180.0;726.0;113.09125081011017;1446.0;22.2;41.4;1.097
1.8;1141.0;12.0;180.0;675.0;113.09125081011017;1530.0;21.0;46.8;1.1508
1.8;1130.0;11.3;180.0;679.0;113.09125081011017;1537.0;21.9;44.9;1.1635
1.8;1099.0;10.4;180.0;711.0;113.09125081011017;1507.0;21.5;46.7;1.1837
1.8;1182.0;12.4;180.0;653.0;113.09125081011017;1616.0;19.7;56.6;1.2811
1.8;1211.0;14.6;180.0;615.0;113.09125081011017;1682.0;18.8;60.8;1.3036
1.8;1340.0;21.0;180.0;537.0;113.09125081011017;1907.0;19.3;59.6;1.3195
1.8;1299.0;17.9;180.0;553.0;113.09125081011017;1804.0;17.6;69.2;1.3803
1.8;1046.0;7.3;180.0;769.0;113.09125081011017;1479.0;16.4;77.1;1.4243
1.8;949.0;4.8;180.0;884.0;113.09125081011017;1393.0;16.6;77.3;1.4491
1.8;966.0;4.8;180.0;908.0;113.09125081011017;1363.0;15.9;78.1;1.4039
1.8;1062.0;7.7;180.0;770.0;113.09125081011017;1473.0;15.1;82.3;1.4009
1.8;934.0;4.3;180.0;906.0;113.09125081011017;1345.0;14.8;83.8;1.4005
1.8;862.0;3.0;180.0;1046.0;113.09125081011017;1289.0;14.4;84.6;1.3794
1.8;823.0;2.1;180.0;1125.0;113.09125081011017;1241.0;15.8;77.6;1.3792
1.8;839.0;2.3;180.0;1097.0;113.09125081011017;1259.0;15.2;79.4;1.3605
1.8;879.0;3.5;180.0;992.0;113.09125081011017;1312.0;14.8;81.9;1.3735
1.8;1095.0;10.0;180.0;725.0;113.09125081011017;1562.0;14.6;82.9;1.3706
1.8;1359.0;20.5;180.0;544.0;113.09125081011017;1878.0;14.8;80.4;1.3428
1.8;1354.0;22.2;180.0;519.0;113.09125081011017;1942.0;15.6;77.1;1.3527
1.8;1420.0;24.1;180.0;501.0;113.09125081011017;1941.0;17.3;70.9;1.3876
1.8;1265.0;17.4;180.0;578.0;113.09125081011017;1760.0;22.2;51.3;1.3543
1.8;1146.0;14.2;180.0;639.0;113.09125081011017;1659.0;24.4;43.9;1.3184
1.8;1150.0;15.0;180.0;620.0;113.09125081011017;1676.0;22.7;47.6;1.2989
1.8;1282.0;18.3;180.0;560.0;113.09125081011017;1861.0;20.5;61.5;1.4673
1.8;1067.0;13.0;180.0;684.0;113.09125081011017;1548.0;23.3;40.4;1.1421
1.8;1185.0;18.1;180.0;603.0;113.09125081011017;1689.0;23.2;39.9;1.1172
1.8;1312.0;23.1;180.0;540.0;113.09125081011017;1881.0;21.5;44.5;1.129
1.8;1319.0;24.9;180.0;509.0;113.09125081011017;1938.0;20.9;48.5;1.1878
1.8;1255.0;21.7;180.0;539.0;113.09125081011017;1875.0;19.8;53.1;1.216
1.8;1123.0;14.1;180.0;648.0;113.09125081011017;1593.0;20.1;53.6;1.2477
1.8;1126.0;11.9;180.0;689.0;113.09125081011017;1523.0;19.6;56.0;1.2623
1.8;924.0;5.1;180.0;902.0;113.09125081011017;1357.0;18.6;60.4;1.2817
1.8;982.0;6.8;180.0;853.0;113.09125081011017;1390.0;14.5;78.3;1.288
1.8;936.0;4.8;180.0;939.0;113.09125081011017;1311.0;16.3;70.5;1.2921
1.8;1069.0;7.2;180.0;825.0;113.09125081011017;1394.0;14.1;83.8;1.346
1.8;967.0;5.4;180.0;879.0;113.09125081011017;1326.0;14.5;81.3;1.3399
1.8;869.0;3.0;180.0;1033.0;113.09125081011017;1249.0;14.7;80.7;1.3414
1.8;916.0;3.7;180.0;986.0;113.09125081011017;1287.0;14.5;82.1;1.3493
1.8;886.0;3.6;180.0;970.0;113.09125081011017;1278.0;15.0;78.4;1.3333
1.8;926.0;4.7;180.0;902.0;113.09125081011017;1325.0;14.5;80.5;1.3221
1.8;971.0;6.9;180.0;808.0;113.09125081011017;1389.0;14.6;79.0;1.3082
1.8;1029.0;7.7;180.0;807.0;113.09125081011017;1446.0;15.0;74.8;1.2672
1.8;1124.0;12.2;180.0;667.0;113.09125081011017;1569.0;15.9;70.4;1.2658
1.8;1063.0;9.6;180.0;729.0;113.09125081011017;1454.0;17.4;62.3;1.2282
1.8;1028.0;9.6;180.0;756.0;113.09125081011017;1413.0;21.3;42.9;1.0727
1.8;944.0;8.3;180.0;828.0;113.09125081011017;1342.0;22.0;38.9;1.0154
1.8;913.0;7.0;180.0;892.0;113.09125081011017;1275.0;20.3;41.3;0.9745
1.8;966.0;8.2;180.0;819.0;113.09125081011017;1354.0;20.2;45.6;1.0663
1.8;833.0;4.5;180.0;1021.0;113.09125081011017;1162.0;20.8;37.4;0.9107
1.8;891.0;5.5;180.0;960.0;113.09125081011017;1234.0;21.6;35.9;0.9164
1.8;995.0;8.7;180.0;825.0;113.09125081011017;1320.0;22.0;35.7;0.9329
1.8;1038.0;8.7;180.0;816.0;113.09125081011017;1332.0;19.9;42.0;0.9665
1.8;1146.0;14.0;180.0;695.0;113.09125081011017;1534.0;19.2;46.3;1.0158
1.8;1059.0;9.5;180.0;787.0;113.09125081011017;1417.0;17.9;56.9;1.1545
1.8;1065.0;7.9;180.0;819.0;113.09125081011017;1397.0;14.7;75.5;1.2554
1.8;1013.0;6.2;180.0;855.0;113.09125081011017;1377.0;15.1;78.9;1.3409
1.8;942.0;4.0;180.0;979.0;113.09125081011017;1303.0;17.2;66.7;1.2987
1.8;925.0;4.4;180.0;960.0;113.09125081011017;1284.0;15.4;73.2;1.2755
1.8;871.0;2.6;180.0;1118.0;113.09125081011017;1228.0;16.5;68.5;1.2753
1.8;864.0;2.7;180.0;1097.0;113.09125081011017;1259.0;16.4;70.3;1.3031
1.8;929.0;3.8;180.0;991.0;113.09125081011017;1307.0;15.4;78.1;1.3557
1.8;912.0;3.6;180.0;984.0;113.09125081011017;1309.0;15.8;75.5;1.3436
1.8;817.0;2.2;180.0;1120.0;113.09125081011017;1227.0;16.0;69.5;1.2549
1.8;786.0;1.7;180.0;1217.0;113.09125081011017;1179.0;15.0;71.0;1.2032
1.8;827.0;2.1;180.0;1208.0;113.09125081011017;1214.0;13.9;75.2;1.1884
1.8;789.0;2.3;180.0;1181.0;113.09125081011017;1171.0;15.9;62.1;1.1103
1.8;875.0;4.8;180.0;961.0;113.09125081011017;1296.0;15.9;61.0;1.0911
1.8;959.0;5.6;180.0;913.0;113.09125081011017;1315.0;17.1;58.7;1.1332
1.8;969.0;6.8;180.0;846.0;113.09125081011017;1351.0;19.2;51.9;1.1404
1.8;947.0;6.2;180.0;900.0;113.09125081011017;1302.0;21.5;42.6;1.0798
1.8;960.0;6.8;180.0;866.0;113.09125081011017;1305.0;21.6;39.9;1.0156
1.8;1017.0;11.1;180.0;744.0;113.09125081011017;1478.0;21.6;40.4;1.0309
1.8;979.0;12.2;180.0;701.0;113.09125081011017;1473.0;22.0;37.3;0.9768
1.8;843.0;4.7;180.0;999.0;113.09125081011017;1179.0;22.1;35.2;0.9253
1.8;877.0;5.1;180.0;962.0;113.09125081011017;1212.0;22.4;36.0;0.9621
1.8;1053.0;12.7;180.0;733.0;113.09125081011017;1495.0;20.9;40.3;0.9866
1.8;1047.0;11.6;180.0;749.0;113.09125081011017;1429.0;19.8;41.5;0.9489
1.8;1105.0;12.7;180.0;712.0;113.09125081011017;1457.0;18.2;46.0;0.9538
1.8;1008.0;9.7;180.0;783.0;113.09125081011017;1348.0;17.3;50.3;0.9837
1.8;975.0;7.8;180.0;814.0;113.09125081011017;1361.0;15.8;57.6;1.0271
1.8;954.0;6.8;180.0;840.0;113.09125081011017;1321.0;15.5;59.7;1.0413
1.8;987.0;8.1;180.0;808.0;113.09125081011017;1344.0;15.5;60.6;1.0574
1.8;880.0;5.4;180.0;922.0;113.09125081011017;1252.0;15.8;59.9;1.0676
1.8;856.0;4.4;180.0;988.0;113.09125081011017;1247.0;14.8;64.3;1.073
1.8;788.0;2.4;180.0;1116.0;113.09125081011017;1177.0;14.8;64.7;1.0788
1.8;760.0;1.6;180.0;1226.0;113.09125081011017;1158.0;13.8;67.6;1.0581
1.8;777.0;1.8;180.0;1191.0;113.09125081011017;1167.0;14.5;65.0;1.0672
1.8;825.0;3.1;180.0;1074.0;113.09125081011017;1207.0;14.0;67.4;1.0703
1.8;1011.0;9.2;180.0;759.0;113.09125081011017;1425.0;12.6;73.6;1.0699
1.8;1237.0;20.8;180.0;576.0;113.09125081011017;1741.0;13.3;70.4;1.0711
1.8;1298.0;26.8;180.0;514.0;113.09125081011017;1884.0;14.4;65.8;1.0773
1.8;1153.0;17.7;180.0;616.0;113.09125081011017;1565.0;16.8;57.8;1.0947
1.8;1101.0;14.2;180.0;646.0;113.09125081011017;1521.0;19.7;49.3;1.1199
1.8;1215.0;16.8;180.0;599.0;113.09125081011017;1664.0;21.1;47.2;1.1659
1.8;1163.0;16.0;180.0;608.0;113.09125081011017;1641.0;22.2;43.2;1.1427
1.8;1285.0;19.9;180.0;549.0;113.09125081011017;1797.0;21.4;47.2;1.1927
1.8;1288.0;18.5;180.0;537.0;113.09125081011017;1763.0;19.9;55.4;1.2702
1.8;1362.0;21.4;180.0;512.0;113.09125081011017;1862.0;20.3;54.0;1.2744
1.8;1405.0;22.8;180.0;497.0;113.09125081011017;1883.0;20.0;56.5;1.3051
1.8;1610.0;36.5;180.0;407.0;113.09125081011017;2287.0;19.7;57.8;1.3138
1.8;1612.0;38.8;180.0;398.0;113.09125081011017;2357.0;19.3;59.0;1.3077
1.8;1520.0;32.3;180.0;436.0;113.09125081011017;2161.0;18.5;60.3;1.2706
1.8;1489.0;29.3;180.0;444.0;113.09125081011017;2080.0;17.8;66.3;1.341
1.8;1181.0;14.2;180.0;597.0;113.09125081011017;1606.0;17.6;65.9;1.3175
1.8;995.0;8.0;180.0;761.0;113.09125081011017;1409.0;17.5;63.5;1.2622
1.8;998.0;7.4;180.0;779.0;113.09125081011017;1380.0;16.5;67.2;1.2491
1.8;984.0;7.2;180.0;788.0;113.09125081011017;1371.0;16.2;69.1;1.259
1.8;1022.0;8.0;180.0;746.0;113.09125081011017;1414.0;14.9;74.7;1.2564
1.8;951.0;6.5;180.0;788.0;113.09125081011017;1354.0;14.1;76.7;1.2273
1.8;910.0;5.2;180.0;842.0;113.09125081011017;1303.0;14.0;76.6;1.2202
1.8;932.0;5.6;180.0;818.0;113.09125081011017;1323.0;14.9;73.8;1.24
1.8;974.0;7.0;180.0;772.0;113.09125081011017;1383.0;15.2;73.1;1.257
1.8;1117.0;11.5;180.0;669.0;113.09125081011017;1528.0;15.2;73.4;1.2626
1.8;1367.0;21.7;180.0;517.0;113.09125081011017;1852.0;15.2;74.7;1.2824
1.8;1583.0;37.9;180.0;404.0;113.09125081011017;2316.0;15.8;71.7;1.278
